"","week","NS_dom","NS_int","NS_no_rep","PEI_dom","PEI_int","PEI_no_rep","NB_dom","NB_int","NB_no_rep","NL_dom","NL_int","NL_no_rep","NWT_dom","NWT_int","NWT_no_rep","Yukon_dom","Yukon_int","Yukon_no_rep"
"1",2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2020-03-09,0,3,0,0,1,0,0,1,5,0,1,0,0,0,0,0,0,0
"9",2020-03-16,0,0,25,0,2,0,0,7,4,0,3,5,1,0,0,0,2,0
"10",2020-03-23,0,0,94,0,6,2,0,2,47,0,0,126,0,0,0,1,0,1
"11",2020-03-30,0,0,140,0,0,11,0,0,35,0,0,82,1,0,2,0,0,2
"12",2020-04-06,0,0,183,1,0,2,0,0,13,0,0,25,0,0,1,0,0,2
"13",2020-04-13,0,0,230,0,0,1,0,0,4,0,0,14,0,0,0,0,0,0
"14",2020-04-20,0,0,198,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"15",2020-04-27,0,0,98,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"16",2020-05-04,0,0,47,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
"17",2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2020-05-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19",2020-05-25,0,0,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0
"20",2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2020-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2020-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2020-06-29,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"25",2020-07-06,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"26",2020-07-13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
"27",2020-07-20,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0
"28",2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2020-08-03,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
"30",2020-08-10,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
"31",2020-08-17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"32",2020-08-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"33",2020-08-31,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
"34",2020-09-07,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0
"35",2020-09-14,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"36",2020-09-21,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"37",2020-09-28,0,0,0,1,0,2,1,0,0,2,2,0,0,0,0,0,0,0
"38",2020-10-05,0,0,0,2,0,0,1,1,0,0,1,4,0,0,0,0,0,0
"39",2020-10-12,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"40",2020-10-19,0,0,0,0,0,1,0,0,0,3,0,0,1,0,3,0,0,0
"41",2020-10-26,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
"42",2020-11-02,0,0,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0
"43",2020-11-09,0,0,0,1,0,1,0,0,0,5,2,0,0,0,0,0,0,0
"44",2020-11-16,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0
"45",2020-11-23,0,0,0,2,0,0,0,0,0,2,6,10,0,0,0,0,0,0
"46",2020-11-30,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0
"47",2020-12-07,2,1,0,2,0,0,0,0,0,3,0,3,5,0,0,0,0,0
"48",2020-12-14,0,0,0,2,0,0,0,0,0,9,8,8,0,0,0,0,0,0
"49",2020-12-21,0,0,0,3,0,0,2,0,0,4,0,1,0,0,0,0,0,0
"50",2020-12-28,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"51",2021-01-04,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"52",2021-01-11,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"53",2021-01-18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"54",2021-01-25,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0
"55",2021-02-01,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0
"56",2021-02-08,0,0,0,0,0,0,0,0,0,1,0,280,0,0,0,0,0,0
"57",2021-02-15,4,0,0,0,0,0,1,0,0,1,0,228,0,0,0,0,0,0
"58",2021-02-22,2,0,0,2,0,0,0,0,0,1,1,59,0,0,0,0,0,0
"59",2021-03-01,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"60",2021-03-08,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"61",2021-03-15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"62",2021-03-22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"63",2021-03-29,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"64",2021-04-05,3,1,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0
"65",2021-04-12,7,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0
"66",2021-04-19,6,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"67",2021-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2021-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2021-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2021-05-17,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"71",2021-05-24,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0
"72",2021-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",2021-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",2021-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",2021-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
