"","REPORTED_DATE","TOTAL","TRAVEL","CLOSE_CONTACT","COMMUNITY"
"1",2020-03-14,1,1,0,0
"2",2020-03-16,2,0,2,0
"3",2020-03-19,1,1,0,0
"4",2020-03-20,1,1,0,0
"5",2020-03-21,4,3,0,1
"6",2020-03-22,5,3,0,2
"7",2020-03-23,21,5,0,16
"8",2020-03-24,22,1,0,21
"9",2020-03-25,25,5,0,20
"10",2020-03-26,15,2,0,13
"11",2020-03-27,20,3,0,17
"12",2020-03-28,18,1,0,17
"13",2020-03-29,12,0,0,12
"14",2020-03-30,4,3,1,0
"15",2020-03-31,11,0,0,11
"16",2020-04-01,19,1,2,16
"17",2020-04-02,10,2,0,8
"18",2020-04-03,7,1,0,6
"19",2020-04-04,19,1,1,17
"20",2020-04-05,8,3,1,4
"21",2020-04-06,2,0,1,1
"22",2020-04-07,3,2,0,1
"23",2020-04-08,4,2,2,0
"24",2020-04-09,2,1,0,1
"25",2020-04-10,5,1,1,3
"26",2020-04-11,1,1,0,0
"27",2020-04-12,2,2,0,0
"28",2020-04-14,3,2,0,1
"29",2020-04-16,5,0,0,5
"30",2020-04-17,4,0,0,4
"31",2020-04-25,1,0,0,1
"32",2020-04-30,1,0,0,1
"33",2020-05-06,1,1,0,0
"34",2020-05-07,1,0,0,1
"35",2020-05-28,1,1,0,0
"36",2020-07-10,1,1,0,0
"37",2020-07-21,1,1,0,0
"38",2020-07-22,1,0,1,0
"39",2020-07-23,1,1,0,0
"40",2020-07-25,1,0,1,0
"41",2020-08-07,1,1,0,0
"42",2020-08-10,1,0,1,0
"43",2020-08-27,1,1,0,0
"44",2020-09-05,1,1,0,0
"45",2020-09-12,1,1,0,0
"46",2020-09-18,1,1,0,0
"47",2020-09-27,1,1,0,0
"48",2020-09-30,1,1,0,0
"49",2020-10-01,1,1,0,0
"50",2020-10-03,1,1,0,0
"51",2020-10-04,1,1,0,0
"52",2020-10-09,2,1,1,0
"53",2020-10-10,3,0,0,3
"54",2020-10-12,1,1,0,0
"55",2020-10-15,3,2,1,0
"56",2020-10-16,1,1,0,0
"57",2020-10-21,1,1,0,0
"58",2020-10-23,1,1,0,0
"59",2020-10-24,1,1,0,0
"60",2020-10-25,1,1,0,0
"61",2020-11-03,1,1,0,0
"62",2020-11-04,2,2,0,0
"63",2020-11-07,2,2,0,0
"64",2020-11-10,2,2,0,0
"65",2020-11-13,1,1,0,0
"66",2020-11-14,4,4,0,0
"67",2020-11-17,4,2,1,1
"68",2020-11-19,1,0,0,1
"69",2020-11-20,4,1,2,1
"70",2020-11-21,5,0,1,4
"71",2020-11-22,2,1,0,1
"72",2020-11-23,3,1,1,1
"73",2020-11-24,1,0,0,1
"74",2020-11-25,3,2,0,1
"75",2020-11-26,3,2,0,1
"76",2020-11-27,2,0,1,1
"77",2020-11-28,3,2,0,1
"78",2020-11-29,4,2,2,0
"79",2020-12-01,2,2,0,0
"80",2020-12-03,2,2,0,0
"81",2020-12-04,3,1,2,0
"82",2020-12-05,2,1,0,1
"83",2020-12-06,4,3,0,1
"84",2020-12-08,2,2,0,0
"85",2020-12-09,1,0,0,1
"86",2020-12-11,2,1,1,0
"87",2020-12-12,1,1,0,0
"88",2020-12-13,1,1,0,0
"89",2020-12-14,1,1,0,0
"90",2020-12-15,2,2,0,0
"91",2020-12-16,3,3,0,0
"92",2020-12-17,5,4,1,0
"93",2020-12-18,7,7,0,0
"94",2020-12-19,6,6,0,0
"95",2020-12-22,2,2,0,0
"96",2020-12-24,2,2,0,0
"97",2020-12-27,3,3,0,0
"98",2020-12-29,1,1,0,0
"99",2021-01-04,2,2,0,0
"100",2021-01-09,1,1,0,0
"101",2021-01-13,1,1,0,0
"102",2021-01-14,1,1,0,0
"103",2021-01-16,1,1,0,0
"104",2021-01-21,2,2,0,0
"105",2021-01-26,2,1,0,1
"106",2021-01-27,3,0,0,3
"107",2021-01-28,5,4,0,1
"108",2021-02-03,3,2,0,1
"109",2021-02-05,1,0,1,0
"110",2021-02-06,3,2,0,1
"111",2021-02-07,4,0,0,4
"112",2021-02-08,10,0,0,10
"113",2021-02-09,35,0,0,35
"114",2021-02-10,86,1,0,85
"115",2021-02-11,91,1,0,90
"116",2021-02-12,33,0,0,33
"117",2021-02-13,21,1,0,20
"118",2021-02-14,6,0,0,6
"119",2021-02-15,5,1,0,4
"120",2021-02-16,18,0,0,18
"121",2021-02-17,50,0,0,50
"122",2021-02-18,54,0,0,54
"123",2021-02-19,53,0,0,53
"124",2021-02-20,28,0,0,28
"125",2021-02-21,19,1,0,18
"126",2021-02-22,16,2,0,14
"127",2021-02-23,11,0,1,10
"128",2021-02-24,10,0,0,10
"129",2021-02-25,9,0,0,9
"130",2021-02-26,3,1,0,2
"131",2021-02-27,7,0,0,7
"132",2021-02-28,3,0,1,2
"133",2021-03-01,5,0,0,5
"134",2021-03-02,3,0,0,3
"135",2021-03-03,5,1,0,4
"136",2021-03-04,3,1,0,2
"137",2021-03-06,3,1,1,1
"138",2021-03-08,3,0,0,3
"139",2021-03-09,1,0,0,1
"140",2021-03-11,2,1,0,1
"141",2021-03-15,1,1,0,0
"142",2021-03-18,1,1,0,0
"143",2021-03-24,1,0,0,1
"144",2021-03-27,1,1,0,0
"145",2021-03-29,1,1,0,0
"146",2021-03-30,2,1,0,1
"147",2021-03-31,2,2,0,0
"148",2021-04-07,1,0,0,1
"149",2021-04-08,1,1,0,0
"150",2021-04-09,2,2,0,0
"151",2021-04-10,4,0,2,2
"152",2021-04-11,1,0,1,0
"153",2021-04-12,1,0,0,1
"154",2021-04-13,3,3,0,0
"155",2021-04-14,2,2,0,0
"156",2021-04-15,2,2,0,0
"157",2021-04-16,2,2,0,0
"158",2021-04-17,3,2,1,0
"159",2021-04-18,1,1,0,0
"160",2021-04-19,2,1,1,0
"161",2021-04-20,2,2,0,0
"162",2021-04-21,1,1,0,0
"163",2021-04-22,3,1,0,2
"164",2021-04-23,2,0,0,2
"165",2021-04-24,3,3,0,0
"166",2021-04-25,4,4,0,0
"167",2021-04-26,1,1,0,0
"168",2021-04-27,1,1,0,0
"169",2021-04-28,3,3,0,0
"170",2021-04-29,5,5,0,0
"171",2021-04-30,6,6,0,0
"172",2021-05-01,20,20,0,0
"173",2021-05-02,6,4,0,2
"174",2021-05-03,3,2,0,1
"175",2021-05-04,6,4,2,0
"176",2021-05-05,5,5,0,0
"177",2021-05-06,5,4,1,0
"178",2021-05-07,7,7,0,0
"179",2021-05-08,7,5,1,1
"180",2021-05-09,4,3,0,1
"181",2021-05-10,7,6,0,1
"182",2021-05-11,12,8,2,2
"183",2021-05-12,9,7,1,1
"184",2021-05-13,11,8,2,1
"185",2021-05-14,3,3,0,0
"186",2021-05-15,9,9,0,0
"187",2021-05-16,6,4,1,1
"188",2021-05-17,7,3,4,0
"189",2021-05-18,8,5,3,0
"190",2021-05-19,1,0,1,0
"191",2021-05-20,7,4,0,3
"192",2021-05-21,7,0,1,6
"193",2021-05-22,19,3,0,16
"194",2021-05-23,11,1,1,9
"195",2021-05-24,9,0,0,9
"196",2021-05-25,5,1,0,4
"197",2021-05-26,7,2,1,4
"198",2021-05-27,14,2,0,12
"199",2021-05-28,9,2,0,7
"200",2021-05-29,4,1,0,3
"201",2021-05-30,6,1,1,4
"202",2021-05-31,3,0,0,3
"203",2021-06-01,12,3,0,9
"204",2021-06-02,12,1,0,11
"205",2021-06-03,3,0,0,3
"206",2021-06-04,2,0,0,2
"207",2021-06-05,5,0,0,5
"208",2021-06-06,6,2,0,4
"209",2021-06-07,1,0,0,1
"210",2021-06-08,3,0,0,3
"211",2021-06-09,3,1,0,2
"212",2021-06-10,7,0,0,7
"213",2021-06-11,6,1,0,5
